"Index","Lesson","Theme","Target type","Korean / grammar target","English gloss / learning goal","Provenance"
"1","1","Daily routine","Vocabulary","생활","life / daily life","Prior chat review formalized in Batch 01"
"2","1","Daily routine","Vocabulary","일상","daily life","Prior chat review formalized in Batch 01"
"3","1","Daily routine","Vocabulary","일어나다","to get up","Prior chat review formalized in Batch 01"
"4","1","Daily routine","Vocabulary","깨다","to wake up","Prior chat review formalized in Batch 01"
"5","1","Daily routine","Vocabulary","씻다","to wash","Prior chat review formalized in Batch 01"
"6","1","Daily routine","Vocabulary","세수하다","to wash one's face","Prior chat review formalized in Batch 01"
"7","1","Daily routine","Vocabulary","샤워하다","to shower","Prior chat review formalized in Batch 01"
"8","1","Daily routine","Vocabulary","이를 닦다","to brush teeth","Prior chat review formalized in Batch 01"
"9","1","Daily routine","Vocabulary","옷을 입다","to get dressed","Prior chat review formalized in Batch 01"
"10","1","Daily routine","Vocabulary","신발을 신다","to put on shoes","Prior chat review formalized in Batch 01"
"11","1","Daily routine","Vocabulary","밥을 먹다","to eat a meal","Prior chat review formalized in Batch 01"
"12","1","Daily routine","Vocabulary","학교에 가다","to go to school","Prior chat review formalized in Batch 01"
"13","1","Daily routine","Vocabulary","회사에 가다","to go to work","Prior chat review formalized in Batch 01"
"14","1","Daily routine","Vocabulary","집에 오다","to come home","Prior chat review formalized in Batch 01"
"15","1","Daily routine","Vocabulary","청소하다","to clean","Prior chat review formalized in Batch 01"
"16","1","Daily routine","Grammar","은/는","topic","PDF batches 01–02"
"17","1","Daily routine","Grammar","V/A-아요/어요","polite present","PDF batches 01–02"
"18","2","Time and weekly plans","Vocabulary","오늘","today","PDF batches 01–02"
"19","2","Time and weekly plans","Vocabulary","어제","yesterday","PDF batches 01–02"
"20","2","Time and weekly plans","Vocabulary","내일","tomorrow","PDF batches 01–02"
"21","2","Time and weekly plans","Vocabulary","지금","now","PDF batches 01–02"
"22","2","Time and weekly plans","Vocabulary","아침","morning","PDF batches 01–02"
"23","2","Time and weekly plans","Vocabulary","오전","a.m. / morning","PDF batches 01–02"
"24","2","Time and weekly plans","Vocabulary","점심","lunch / noon","PDF batches 01–02"
"25","2","Time and weekly plans","Vocabulary","오후","p.m. / afternoon","PDF batches 01–02"
"26","2","Time and weekly plans","Vocabulary","저녁","evening / dinner","PDF batches 01–02"
"27","2","Time and weekly plans","Vocabulary","밤","night","PDF batches 01–02"
"28","2","Time and weekly plans","Vocabulary","매일","every day","PDF batches 01–02"
"29","2","Time and weekly plans","Vocabulary","월요일","Monday","PDF batches 01–02"
"30","2","Time and weekly plans","Vocabulary","화요일","Tuesday","PDF batches 01–02"
"31","2","Time and weekly plans","Vocabulary","주말","weekend","PDF batches 01–02"
"32","2","Time and weekly plans","Vocabulary","시간","time / hour","PDF batches 01–02"
"33","2","Time and weekly plans","Grammar","V/A-았/었어요","past","PDF batches 01–02"
"34","2","Time and weekly plans","Grammar","N부터 N까지","from ... to ...","PDF batches 01–02"
"35","3","Places and locations","Vocabulary","식당","restaurant","PDF batches 01–02"
"36","3","Places and locations","Vocabulary","카페","café","PDF batches 01–02"
"37","3","Places and locations","Vocabulary","병원","hospital","PDF batches 01–02"
"38","3","Places and locations","Vocabulary","약국","pharmacy","PDF batches 01–02"
"39","3","Places and locations","Vocabulary","은행","bank","PDF batches 01–02"
"40","3","Places and locations","Vocabulary","우체국","post office","PDF batches 01–02"
"41","3","Places and locations","Vocabulary","도서관","library","PDF batches 01–02"
"42","3","Places and locations","Vocabulary","공원","park","PDF batches 01–02"
"43","3","Places and locations","Vocabulary","영화관","cinema","PDF batches 01–02"
"44","3","Places and locations","Vocabulary","화장실","restroom","PDF batches 01–02"
"45","3","Places and locations","Vocabulary","지하철역","subway station","PDF batches 01–02"
"46","3","Places and locations","Vocabulary","버스 정류장","bus stop","PDF batches 01–02"
"47","3","Places and locations","Vocabulary","공항","airport","PDF batches 01–02"
"48","3","Places and locations","Vocabulary","교실","classroom","PDF batches 01–02"
"49","3","Places and locations","Vocabulary","사무실","office","PDF batches 01–02"
"50","3","Places and locations","Grammar","에 vs 에서","place markers","PDF batches 01–02"
"51","3","Places and locations","Grammar","N이/가 있어요/없어요","existence","PDF batches 01–02"
"52","4","School and studying","Vocabulary","수업","class / lesson","PDF batches 01–02"
"53","4","School and studying","Vocabulary","시험","test / exam","PDF batches 01–02"
"54","4","School and studying","Vocabulary","숙제","homework","PDF batches 01–02"
"55","4","School and studying","Vocabulary","문제","question / problem","PDF batches 01–02"
"56","4","School and studying","Vocabulary","답","answer","PDF batches 01–02"
"57","4","School and studying","Vocabulary","정답","correct answer","PDF batches 01–02"
"58","4","School and studying","Vocabulary","단어","word / vocabulary","PDF batches 01–02"
"59","4","School and studying","Vocabulary","문장","sentence","PDF batches 01–02"
"60","4","School and studying","Vocabulary","문법","grammar","PDF batches 01–02"
"61","4","School and studying","Vocabulary","연습","practice","PDF batches 01–02"
"62","4","School and studying","Vocabulary","공부하다","to study","PDF batches 01–02"
"63","4","School and studying","Vocabulary","배우다","to learn","PDF batches 01–02"
"64","4","School and studying","Vocabulary","외우다","to memorize","PDF batches 01–02"
"65","4","School and studying","Vocabulary","읽다","to read","PDF batches 01–02"
"66","4","School and studying","Vocabulary","듣다","to listen","PDF batches 01–02"
"67","4","School and studying","Grammar","을/를","object marker","PDF batches 01–02"
"68","4","School and studying","Grammar","V/A-고","and / then","PDF batches 01–02"
"69","5","Food and ordering","Vocabulary","음식","food","PDF batches 01–02"
"70","5","Food and ordering","Vocabulary","밥","rice / meal","PDF batches 01–02"
"71","5","Food and ordering","Vocabulary","물","water","PDF batches 01–02"
"72","5","Food and ordering","Vocabulary","커피","coffee","PDF batches 01–02"
"73","5","Food and ordering","Vocabulary","차","tea","PDF batches 01–02"
"74","5","Food and ordering","Vocabulary","우유","milk","PDF batches 01–02"
"75","5","Food and ordering","Vocabulary","주스","juice","PDF batches 01–02"
"76","5","Food and ordering","Vocabulary","빵","bread","PDF batches 01–02"
"77","5","Food and ordering","Vocabulary","과일","fruit","PDF batches 01–02"
"78","5","Food and ordering","Vocabulary","사과","apple","PDF batches 01–02"
"79","5","Food and ordering","Vocabulary","바나나","banana","PDF batches 01–02"
"80","5","Food and ordering","Vocabulary","김치","kimchi","PDF batches 01–02"
"81","5","Food and ordering","Vocabulary","라면","ramyeon","PDF batches 01–02"
"82","5","Food and ordering","Vocabulary","김밥","gimbap","PDF batches 01–02"
"83","5","Food and ordering","Vocabulary","비빔밥","bibimbap","PDF batches 01–02"
"84","5","Food and ordering","Grammar","N 주세요","please give me ...","PDF batches 01–02"
"85","5","Food and ordering","Grammar","Native numbers + counters","quantities","PDF batches 01–02"
"86","6","Family and people","Vocabulary","가족","family","PDF batches 01–02"
"87","6","Family and people","Vocabulary","부모님","parents (respectful)","PDF batches 01–02"
"88","6","Family and people","Vocabulary","아버지","father","PDF batches 01–02"
"89","6","Family and people","Vocabulary","어머니","mother","PDF batches 01–02"
"90","6","Family and people","Vocabulary","형","older brother (male speaker)","PDF batches 01–02"
"91","6","Family and people","Vocabulary","오빠","older brother / older male (female speaker)","PDF batches 01–02"
"92","6","Family and people","Vocabulary","누나","older sister (male speaker)","PDF batches 01–02"
"93","6","Family and people","Vocabulary","언니","older sister / older female (female speaker)","PDF batches 01–02"
"94","6","Family and people","Vocabulary","남동생","younger brother","PDF batches 01–02"
"95","6","Family and people","Vocabulary","여동생","younger sister","PDF batches 01–02"
"96","6","Family and people","Vocabulary","할아버지","grandfather","PDF batches 01–02"
"97","6","Family and people","Vocabulary","할머니","grandmother","PDF batches 01–02"
"98","6","Family and people","Vocabulary","친구","friend","PDF batches 01–02"
"99","6","Family and people","Vocabulary","학생","student","PDF batches 01–02"
"100","6","Family and people","Vocabulary","선생님","teacher","PDF batches 01–02"
"101","6","Family and people","Grammar","N이에요/예요","polite is / am / are","PDF batches 01–02"
"102","6","Family and people","Grammar","N이/가 아니에요","is not","PDF batches 01–02"
"103","7","Clothes and shopping","Vocabulary","옷","clothes","PDF batches 01–02"
"104","7","Clothes and shopping","Vocabulary","바지","pants","PDF batches 01–02"
"105","7","Clothes and shopping","Vocabulary","청바지","jeans","PDF batches 01–02"
"106","7","Clothes and shopping","Vocabulary","치마","skirt","PDF batches 01–02"
"107","7","Clothes and shopping","Vocabulary","셔츠","shirt","PDF batches 01–02"
"108","7","Clothes and shopping","Vocabulary","티셔츠","T-shirt","PDF batches 01–02"
"109","7","Clothes and shopping","Vocabulary","운동화","sneakers","PDF batches 01–02"
"110","7","Clothes and shopping","Vocabulary","색","color","PDF batches 01–02"
"111","7","Clothes and shopping","Vocabulary","빨간색","red","PDF batches 01–02"
"112","7","Clothes and shopping","Vocabulary","파란색","blue","PDF batches 01–02"
"113","7","Clothes and shopping","Vocabulary","사이즈","size","PDF batches 01–02"
"114","7","Clothes and shopping","Vocabulary","가격","price","PDF batches 01–02"
"115","7","Clothes and shopping","Vocabulary","할인","discount","PDF batches 01–02"
"116","7","Clothes and shopping","Vocabulary","영수증","receipt","PDF batches 01–02"
"117","7","Clothes and shopping","Vocabulary","현금","cash","PDF batches 01–02"
"118","7","Clothes and shopping","Grammar","V-(으)세요","polite instruction / request","PDF batches 01–02"
"119","7","Clothes and shopping","Grammar","V-아/어 주세요","please do (for someone)","PDF batches 01–02"
"120","8","Transport and directions","Vocabulary","교통","transportation","PDF batches 01–02"
"121","8","Transport and directions","Vocabulary","버스","bus","PDF batches 01–02"
"122","8","Transport and directions","Vocabulary","지하철","subway","PDF batches 01–02"
"123","8","Transport and directions","Vocabulary","택시","taxi","PDF batches 01–02"
"124","8","Transport and directions","Vocabulary","기차","train","PDF batches 01–02"
"125","8","Transport and directions","Vocabulary","비행기","airplane","PDF batches 01–02"
"126","8","Transport and directions","Vocabulary","자전거","bicycle","PDF batches 01–02"
"127","8","Transport and directions","Vocabulary","길","road / way","PDF batches 01–02"
"128","8","Transport and directions","Vocabulary","왼쪽","left","PDF batches 01–02"
"129","8","Transport and directions","Vocabulary","오른쪽","right","PDF batches 01–02"
"130","8","Transport and directions","Vocabulary","곧장","straight ahead","PDF batches 01–02"
"131","8","Transport and directions","Vocabulary","타다","to take / ride","PDF batches 01–02"
"132","8","Transport and directions","Vocabulary","내리다","to get off","PDF batches 01–02"
"133","8","Transport and directions","Vocabulary","갈아타다","to transfer","PDF batches 01–02"
"134","8","Transport and directions","Vocabulary","걷다","to walk","PDF batches 01–02"
"135","8","Transport and directions","Grammar","N(으)로","by / toward / direction","PDF batches 01–02"
"136","8","Transport and directions","Grammar","V-(으)러 가다/오다","go / come in order to do","PDF batches 01–02"
"137","9","Weather and plans","Vocabulary","날씨","weather","PDF batches 01–02"
"138","9","Weather and plans","Vocabulary","비","rain","PDF batches 01–02"
"139","9","Weather and plans","Vocabulary","눈","snow","PDF batches 01–02"
"140","9","Weather and plans","Vocabulary","바람","wind","PDF batches 01–02"
"141","9","Weather and plans","Vocabulary","구름","cloud","PDF batches 01–02"
"142","9","Weather and plans","Vocabulary","해","sun","PDF batches 01–02"
"143","9","Weather and plans","Vocabulary","하늘","sky","PDF batches 01–02"
"144","9","Weather and plans","Vocabulary","비가 오다","to rain","PDF batches 01–02"
"145","9","Weather and plans","Vocabulary","눈이 오다","to snow","PDF batches 01–02"
"146","9","Weather and plans","Vocabulary","바람이 불다","wind blows","PDF batches 01–02"
"147","9","Weather and plans","Vocabulary","맑다","to be clear / sunny","PDF batches 01–02"
"148","9","Weather and plans","Vocabulary","흐리다","to be cloudy","PDF batches 01–02"
"149","9","Weather and plans","Vocabulary","덥다","to be hot","PDF batches 01–02"
"150","9","Weather and plans","Vocabulary","춥다","to be cold","PDF batches 01–02"
"151","9","Weather and plans","Vocabulary","따뜻하다","to be warm","PDF batches 01–02"
"152","9","Weather and plans","Grammar","V/A-(으)ㄹ 거예요","future / expectation","PDF batches 01–02"
"153","9","Weather and plans","Grammar","V/A-아/어서","because / so","PDF batches 01–02"
"154","10","Hobbies and free time","Vocabulary","취미","hobby","PDF batches 01–02"
"155","10","Hobbies and free time","Vocabulary","축구","soccer","PDF batches 01–02"
"156","10","Hobbies and free time","Vocabulary","농구","basketball","PDF batches 01–02"
"157","10","Hobbies and free time","Vocabulary","수영","swimming","PDF batches 01–02"
"158","10","Hobbies and free time","Vocabulary","등산","hiking","PDF batches 01–02"
"159","10","Hobbies and free time","Vocabulary","산책","walk / stroll","PDF batches 01–02"
"160","10","Hobbies and free time","Vocabulary","요가","yoga","PDF batches 01–02"
"161","10","Hobbies and free time","Vocabulary","영화","movie","PDF batches 01–02"
"162","10","Hobbies and free time","Vocabulary","드라마","drama","PDF batches 01–02"
